,Fallas
0,6
1,3
2,4
3,6
4,3
5,4
6,7
7,3
8,3
9,7
10,3
11,4
12,2
13,5
14,2
15,3
16,6
17,7
18,2
19,4
20,4
21,4
22,5
23,2
24,12
25,5
26,7
27,4
28,6
29,1
30,4
31,6
32,7
33,6
34,2
35,4
36,8
37,3
38,1
39,5
40,5
41,2
42,5
43,4
44,6
45,9
46,3
47,5
48,4
49,4
50,1
51,4
52,10
53,1
54,2
55,3
56,8
57,3
58,5
59,8
60,3
61,7
62,5
63,3
64,2
65,4
66,1
67,0
68,3
69,3
70,1
71,1
72,4
73,1
74,4
75,3
76,4
77,4
78,3
79,3
80,2
81,5
82,3
83,8
84,2
85,1
86,7
87,5
88,3
89,4
90,9
91,8
92,5
93,2
94,4
95,4
96,5
97,4
98,3
99,5
100,4
101,5
102,3
103,2
104,3
105,3
106,5
107,6
108,2
109,3
110,0
111,3
112,7
113,6
114,2
115,3
116,4
117,8
118,1
119,0
120,3
121,5
122,3
123,3
124,3
125,3
126,2
127,7
128,4
129,4
130,6
131,6
132,4
133,4
134,5
135,5
136,4
137,5
138,3
139,2
140,3
141,7
142,4
143,9
144,5
145,3
146,5
147,2
148,2
149,5
150,5
151,7
152,5
153,3
154,2
155,5
156,6
157,6
158,2
159,6
160,2
161,4
162,3
163,4
164,3
165,9
166,4
167,2
168,3
169,3
170,3
171,6
172,5
173,6
174,3
175,3
176,2
177,6
178,4
179,2
180,5
181,0
182,3
183,2
184,4
185,2
186,5
187,6
188,6
189,5
190,7
191,5
192,4
193,4
194,2
195,7
196,4
197,3
198,5
199,2
200,3
201,3
202,4
203,5
204,6
205,6
206,2
207,5
208,2
209,5
210,5
211,6
212,3
213,3
214,7
215,2
216,4
217,2
218,8
219,5
220,3
221,4
222,10
223,7
224,2
225,6
226,7
227,4
228,3
229,2
230,3
231,9
232,4
233,2
234,5
235,4
236,3
237,5
238,6
239,3
240,4
241,6
242,2
243,6
244,5
245,9
246,2
247,5
248,4
249,6
250,5
251,3
252,5
253,3
254,3
255,7
