ID,Estado cerrado,Duración,Id de estación de inicio,Fecha de inicio,Nombre de estación de inicio,Fecha de fin,Id de estación de fin de viaje,Nombre de estación de fin de viaje,ID de ciclista,Tipo de ciclista,Modelo de bicicleta,Origen de viaje
11204995,NORMAL,437,131,2021-06-02 16:14:35,131- HOSPITAL DE CLÍNICAS,2021-06-02 16:21:52,38.0,038 - Plaza Libertad,119795,MEMBER,ICONIC,CODE
11204938,NORMAL,406,387,2021-06-02 16:11:01,278 - Donato Alvarez,2021-06-02 16:17:47,262.0,349 - Plaza Saenz Peña,348428,MEMBER,ICONIC,CODE
11204928,NORMAL,299,232,2021-06-02 16:10:08,252 - Tamborini,2021-06-02 16:15:07,386.0,277 - Coghlan,690073,MEMBER,ICONIC,CODE
11204920,NORMAL,400,117,2021-06-02 16:09:34,117 - HUMBERTO 1°,2021-06-02 16:16:14,175.0,147 - Constitución,713938,MEMBER,ICONIC,CODE
11204919,NORMAL,591,212,2021-06-02 16:09:32,129 - Velasco,2021-06-02 16:19:23,158.0,158 - VILLARROEL,35926,MEMBER,ICONIC,CODE
11204914,NORMAL,335,161,2021-06-02 16:09:17,161 - Humahuaca,2021-06-02 16:14:52,121.0,121 - YATAY,536195,MEMBER,ICONIC,CODE
11204912,NORMAL,215,179,2021-06-02 16:09:05,179 - CASA SAN,2021-06-02 16:12:40,126.0,126 - Ministerio de Justicia y Seguridad,741035,MEMBER,ICONIC,CODE
11204909,NORMAL,659,261,2021-06-02 16:08:48,272 - Plaza Bruno Giordano,2021-06-02 16:19:47,316.0,205 - SAN MARTIN,183435,MEMBER,ICONIC,CODE
11204906,NORMAL,673,190,2021-06-02 16:08:37,190 - JUNCAL,2021-06-02 16:19:50,54.0,054 - Acuña de Figueroa,55881,MEMBER,ICONIC,CODE
11204904,NORMAL,485,65,2021-06-02 16:08:29,065 - Julián Álvarez,2021-06-02 16:16:34,200.0,200 - AUSTRIA Y FRENCH,12438,MEMBER,ICONIC,CODE
11204903,NORMAL,573,82,2021-06-02 16:08:28,082 - HOSPITAL ITALIANO,2021-06-02 16:18:01,25.0,025 - Plaza Guemes,674975,MEMBER,ICONIC,CODE
11204899,NORMAL,687,359,2021-06-02 16:08:20,250 - Fleni,2021-06-02 16:19:47,230.0,259 - PLAZA CASTELLI,770532,MEMBER,ICONIC,CODE
11204898,NORMAL,548,64,2021-06-02 16:08:05,064 - RIOBAMBA,2021-06-02 16:17:13,200.0,200 - AUSTRIA Y FRENCH,569922,MEMBER,ICONIC,CODE
11204896,NORMAL,471,121,2021-06-02 16:07:50,121 - YATAY,2021-06-02 16:15:41,54.0,054 - Acuña de Figueroa,684421,MEMBER,ICONIC,CODE
11204887,NORMAL,571,425,2021-06-02 16:07:28,394 - Av. La Plata,2021-06-02 16:16:59,41.0,041 - Urquiza y Rondeau,275651,MEMBER,ICONIC,CODE
11204883,NORMAL,812,162,2021-06-02 16:07:16,162 - LARREA Y BARTOLOMÉ MITRE,2021-06-02 16:20:48,96.0,096 - Carlos Gardel,669972,MEMBER,ICONIC,CODE
11204882,NORMAL,402,372,2021-06-02 16:07:10,322 - MARTÍ Y DIRECTORIO,2021-06-02 16:13:52,407.0,330 - Parque Avellaneda,226391,MEMBER,ICONIC,CODE
11204881,NORMAL,616,200,2021-06-02 16:07:08,200 - AUSTRIA Y FRENCH,2021-06-02 16:17:24,54.0,054 - Acuña de Figueroa,666289,MEMBER,ICONIC,CODE
11204879,NORMAL,643,202,2021-06-02 16:06:42,001 - FACULTAD DE DERECHO,2021-06-02 16:17:25,64.0,064 - RIOBAMBA,389656,MEMBER,ICONIC,CODE
11204878,NORMAL,639,74,2021-06-02 16:06:42,074 - INSTITUTO  LELOIR,2021-06-02 16:17:21,204.0,167 - Hipólito Yrigoyen,397726,MEMBER,ICONIC,CODE
11204876,NORMAL,706,121,2021-06-02 16:06:36,121 - YATAY,2021-06-02 16:18:22,214.0,142 - Armenia y Gorriti,697183,MEMBER,ICONIC,CODE
11204875,NORMAL,351,194,2021-06-02 16:06:35,194 - PERÓN Y ACUÑA DE FIGUEROA,2021-06-02 16:12:26,54.0,054 - Acuña de Figueroa,726421,MEMBER,ICONIC,CODE
11204869,NORMAL,839,174,2021-06-02 16:06:03,174 - MINISTERIO DE EDUCACION,2021-06-02 16:20:02,63.0,063 - Reconquista,680508,MEMBER,ICONIC,CODE
11204866,NORMAL,734,22,2021-06-02 16:05:54,022 - Arenales,2021-06-02 16:18:08,191.0,191 - Rivadavia y 9 de Julio,525668,MEMBER,ICONIC,CODE
11204863,NORMAL,660,3,2021-06-02 16:05:48,003 - ADUANA,2021-06-02 16:16:48,130.0,130 - RETIRO II,409407,MEMBER,ICONIC,CODE
11204859,NORMAL,544,261,2021-06-02 16:05:35,272 - Plaza Bruno Giordano,2021-06-02 16:14:39,29.0,029 - Parque Centenario,76131,MEMBER,ICONIC,CODE
11204857,NORMAL,954,172,2021-06-02 16:05:31,172 - BRASIL,2021-06-02 16:21:25,172.0,172 - BRASIL,722962,MEMBER,ICONIC,CODE
11204853,NORMAL,794,299,2021-06-02 16:05:15,221 - CULPINA,2021-06-02 16:18:29,255.0,374 - Puan,667906,MEMBER,ICONIC,CODE
11204852,NORMAL,260,194,2021-06-02 16:05:14,194 - PERÓN Y ACUÑA DE FIGUEROA,2021-06-02 16:09:34,161.0,161 - Humahuaca,18688,MEMBER,ICONIC,CODE
11204848,NORMAL,852,239,2021-06-02 16:04:51,391 - Plaza República de Ecuador,2021-06-02 16:19:03,5.0,005 - Plaza Italia,37674,MEMBER,ICONIC,CODE
11204845,NORMAL,589,284,2021-06-02 16:04:40,229 - RIGLOS,2021-06-02 16:14:29,280.0,222 - SIMON BOLIVAR,192202,MEMBER,ICONIC,CODE
11204844,NORMAL,701,7,2021-06-02 16:04:33,007 - OBELISCO,2021-06-02 16:16:14,175.0,147 - Constitución,503714,MEMBER,ICONIC,CODE
11204842,NORMAL,756,273,2021-06-02 16:04:25,223 - GAINZA,2021-06-02 16:17:01,29.0,029 - Parque Centenario,729580,MEMBER,ICONIC,CODE
11204839,NORMAL,345,111,2021-06-02 16:04:03,111 - MACACHA GUEMES,2021-06-02 16:09:48,4.0,004 - Plaza Roma,50946,MEMBER,ICONIC,CODE
11204836,NORMAL,758,268,2021-06-02 16:03:55,399 - GARCIA DEL RIO,2021-06-02 16:16:33,275.0,256 - PLAZA NORUEGA,715219,MEMBER,ICONIC,CODE
11204835,NORMAL,642,183,2021-06-02 16:03:48,183 - VIRREY CEVALLOS,2021-06-02 16:14:30,186.0,186 - MANZANA 66,32943,MEMBER,ICONIC,CODE
11204833,NORMAL,716,255,2021-06-02 16:03:29,374 - Puan,2021-06-02 16:15:25,204.0,167 - Hipólito Yrigoyen,695274,MEMBER,ICONIC,CODE
11204831,NORMAL,850,206,2021-06-02 16:03:22,159 - Fitz Roy & Gorriti,2021-06-02 16:17:32,144.0,144 - PUEYRREDÓN,768059,MEMBER,ICONIC,CODE
11204830,NORMAL,227,263,2021-06-02 16:03:20,270 - PLAZA DEL ANGEL GRIS,2021-06-02 16:07:07,263.0,270 - PLAZA DEL ANGEL GRIS,702778,MEMBER,ICONIC,CODE
11204829,NORMAL,370,203,2021-06-02 16:03:18,108 - Usina del Arte,2021-06-02 16:09:28,6.0,006 - Parque Lezama,683409,MEMBER,ICONIC,CODE
11204828,NORMAL,535,227,2021-06-02 16:03:17,188 - Aranguren,2021-06-02 16:12:12,167.0,275 - PLAZA 24 DE SEPTIEMBRE,629257,MEMBER,ICONIC,CODE
11204827,NORMAL,234,433,2021-06-02 16:03:06,273 - Plazoleta Colombia,2021-06-02 16:07:00,179.0,179 - CASA SAN,340004,MEMBER,ICONIC,CODE
11204824,NORMAL,919,93,2021-06-02 16:02:57,093 - CARLOS CALVO,2021-06-02 16:18:16,131.0,131- HOSPITAL DE CLÍNICAS,615312,MEMBER,ICONIC,CODE
11204821,NORMAL,811,329,2021-06-02 16:02:34,100 - Plaza Gurruchaga,2021-06-02 16:16:05,94.0,094 - GÚZMAN,125009,MEMBER,ICONIC,CODE
11204819,NORMAL,520,132,2021-06-02 16:02:22,132 - CORRIENTES,2021-06-02 16:11:02,130.0,130 - RETIRO II,714176,MEMBER,ICONIC,CODE
11204818,NORMAL,737,74,2021-06-02 16:02:22,074 - INSTITUTO  LELOIR,2021-06-02 16:14:39,335.0,206 - Galicia,764382,MEMBER,ICONIC,CODE
11204817,NORMAL,409,30,2021-06-02 16:02:21,030 - Peña,2021-06-02 16:09:10,174.0,174 - MINISTERIO DE EDUCACION,597113,MEMBER,ICONIC,CODE
11204815,NORMAL,585,112,2021-06-02 16:02:13,112 - 9 de Julio,2021-06-02 16:11:58,151.0,151 - AIME PAINÉ,28553,MEMBER,ICONIC,CODE
11204813,NORMAL,529,189,2021-06-02 16:02:04,189 - POSADAS,2021-06-02 16:10:53,174.0,174 - MINISTERIO DE EDUCACION,320721,MEMBER,ICONIC,CODE
11204811,NORMAL,573,84,2021-06-02 16:01:48,084 - Lavalle,2021-06-02 16:11:21,38.0,038 - Plaza Libertad,72367,MEMBER,ICONIC,CODE
11204809,NORMAL,584,87,2021-06-02 16:01:42,087 - Guayaquil,2021-06-02 16:11:26,29.0,029 - Parque Centenario,373179,MEMBER,ICONIC,CODE
11204806,NORMAL,789,117,2021-06-02 16:01:25,117 - HUMBERTO 1°,2021-06-02 16:14:34,4.0,004 - Plaza Roma,119918,MEMBER,ICONIC,CODE
11204803,NORMAL,683,231,2021-06-02 16:00:58,384 - PLAZA BENITO NAZAR,2021-06-02 16:12:21,194.0,194 - PERÓN Y ACUÑA DE FIGUEROA,759154,MEMBER,ICONIC,CODE
11204799,NORMAL,789,163,2021-06-02 16:00:19,163 - ONCE II,2021-06-02 16:13:28,116.0,116 - HOSPITAL ALEMÁN,28620,MEMBER,ICONIC,CODE
11204796,NORMAL,833,216,2021-06-02 15:59:55,059 - Coronel Diaz,2021-06-02 16:13:48,242.0,103 - MALBA,336602,MEMBER,ICONIC,CODE
11204795,NORMAL,461,222,2021-06-02 15:59:55,160 - Godoy Cruz y Libertador,2021-06-02 16:07:36,14.0,014 - Pacifico,478407,MEMBER,ICONIC,CODE
11204791,NORMAL,1028,275,2021-06-02 15:59:47,256 - PLAZA NORUEGA,2021-06-02 16:16:55,322.0,289 - MONTAÑESES,53797,MEMBER,ICONIC,CODE
11204790,NORMAL,332,121,2021-06-02 15:59:43,121 - YATAY,2021-06-02 16:05:15,54.0,054 - Acuña de Figueroa,764701,MEMBER,ICONIC,CODE
11204789,NORMAL,1138,94,2021-06-02 15:59:25,094 - GÚZMAN,2021-06-02 16:18:23,182.0,182 - RAVIGNANI Y GUATEMALA,146498,MEMBER,ICONIC,CODE
11204788,NORMAL,428,156,2021-06-02 15:58:58,156 - Plaza Alemania,2021-06-02 16:06:06,222.0,160 - Godoy Cruz y Libertador,764567,MEMBER,ICONIC,CODE
11204783,NORMAL,939,118,2021-06-02 15:58:52,118 - MEXICO,2021-06-02 16:14:31,46.0,046 - Chile,233650,MEMBER,ICONIC,CODE
11204782,NORMAL,603,441,2021-06-02 15:58:51,016 - Legislatura,2021-06-02 16:08:54,7.0,007 - OBELISCO,768874,MEMBER,ICONIC,CODE
11204781,NORMAL,390,189,2021-06-02 15:58:48,189 - POSADAS,2021-06-02 16:05:18,130.0,130 - RETIRO II,86793,MEMBER,ICONIC,CODE
11204774,NORMAL,309,329,2021-06-02 15:58:30,100 - Plaza Gurruchaga,2021-06-02 16:03:39,213.0,136 - Acevedo,701446,MEMBER,ICONIC,CODE
11204773,NORMAL,351,242,2021-06-02 15:58:25,103 - MALBA,2021-06-02 16:04:16,202.0,001 - FACULTAD DE DERECHO,221621,MEMBER,ICONIC,CODE
11204772,NORMAL,535,82,2021-06-02 15:58:12,082 - HOSPITAL ITALIANO,2021-06-02 16:07:07,74.0,074 - INSTITUTO  LELOIR,455088,MEMBER,ICONIC,CODE
11204771,NORMAL,694,222,2021-06-02 15:58:08,160 - Godoy Cruz y Libertador,2021-06-02 16:09:42,124.0,124 - UGARTECHE,772237,MEMBER,ICONIC,CODE
11204770,NORMAL,385,5,2021-06-02 15:58:03,005 - Plaza Italia,2021-06-02 16:04:28,44.0,044 - Ecoparque,753969,MEMBER,ICONIC,CODE
11204769,NORMAL,240,116,2021-06-02 15:58:00,116 - HOSPITAL ALEMÁN,2021-06-02 16:02:00,200.0,200 - AUSTRIA Y FRENCH,242129,MEMBER,ICONIC,CODE
11204768,NORMAL,624,135,2021-06-02 15:57:54,135 - MARCELO T. DE ALVEAR,2021-06-02 16:08:18,33.0,033 - Facultad de Medicina,561085,MEMBER,ICONIC,CODE
11204767,NORMAL,996,8,2021-06-02 15:57:52,008 - Congreso,2021-06-02 16:14:28,165.0,165 - PLAZA MONSEÑOR MIGUEL DE ANDREA,683533,MEMBER,ICONIC,CODE
11204765,NORMAL,800,96,2021-06-02 15:57:43,096 - Carlos Gardel,2021-06-02 16:11:03,74.0,074 - INSTITUTO  LELOIR,707123,MEMBER,ICONIC,CODE
11204763,NORMAL,1239,376,2021-06-02 15:57:30,324 - Las Victorias,2021-06-02 16:18:09,385.0,268 - Plaza Aristóbulo Del Valle,759265,MEMBER,ICONIC,CODE
11204762,NORMAL,1198,187,2021-06-02 15:57:24,261 - QUINTEROS LIDORO,2021-06-02 16:17:22,275.0,256 - PLAZA NORUEGA,58809,MEMBER,ICONIC,CODE
11204761,NORMAL,405,14,2021-06-02 15:57:11,014 - Pacifico,2021-06-02 16:03:56,239.0,391 - Plaza República de Ecuador,772116,MEMBER,ICONIC,CODE
11204760,NORMAL,515,70,2021-06-02 15:57:06,070 - ARAOZ,2021-06-02 16:05:41,161.0,161 - Humahuaca,692927,MEMBER,ICONIC,CODE
11204759,NORMAL,279,194,2021-06-02 15:57:04,194 - PERÓN Y ACUÑA DE FIGUEROA,2021-06-02 16:01:43,54.0,054 - Acuña de Figueroa,34386,MEMBER,ICONIC,CODE
11204758,NORMAL,916,167,2021-06-02 15:57:01,275 - PLAZA 24 DE SEPTIEMBRE,2021-06-02 16:12:17,214.0,142 - Armenia y Gorriti,738693,MEMBER,ICONIC,CODE
11204757,NORMAL,1021,194,2021-06-02 15:57:00,194 - PERÓN Y ACUÑA DE FIGUEROA,2021-06-02 16:14:01,54.0,054 - Acuña de Figueroa,103720,MEMBER,ICONIC,CODE
11204755,NORMAL,1346,329,2021-06-02 15:56:48,100 - Plaza Gurruchaga,2021-06-02 16:19:14,355.0,242 - Plazoleta Rafael del Riego,759147,MEMBER,ICONIC,CODE
11204754,NORMAL,745,30,2021-06-02 15:56:47,030 - Peña,2021-06-02 16:09:12,84.0,084 - Lavalle,772044,MEMBER,ICONIC,CODE
11204753,NORMAL,1350,284,2021-06-02 15:56:45,229 - RIGLOS,2021-06-02 16:19:15,167.0,275 - PLAZA 24 DE SEPTIEMBRE,705825,MEMBER,ICONIC,CODE
11204751,NORMAL,1028,121,2021-06-02 15:56:38,121 - YATAY,2021-06-02 16:13:46,163.0,163 - ONCE II,679373,MEMBER,ICONIC,CODE
11204749,NORMAL,1350,163,2021-06-02 15:56:36,163 - ONCE II,2021-06-02 16:19:06,175.0,147 - Constitución,693235,MEMBER,ICONIC,CODE
11204748,NORMAL,1291,216,2021-06-02 15:56:33,059 - Coronel Diaz,2021-06-02 16:18:04,83.0,083 - Paraná,701705,MEMBER,ICONIC,CODE
11204746,NORMAL,1255,392,2021-06-02 15:56:27,297 - TRONADOR Y GARCÍA DEL RÍO,2021-06-02 16:17:22,275.0,256 - PLAZA NORUEGA,769932,MEMBER,ICONIC,CODE
11204744,NORMAL,1197,212,2021-06-02 15:56:26,129 - Velasco,2021-06-02 16:16:23,156.0,156 - Plaza Alemania,351602,MEMBER,ICONIC,CODE
11204743,NORMAL,831,291,2021-06-02 15:56:25,244 - UADE,2021-06-02 16:10:16,130.0,130 - RETIRO II,156957,MEMBER,ICONIC,CODE
11204741,NORMAL,773,449,2021-06-02 15:55:58,352 - San Jose de Flores,2021-06-02 16:08:51,407.0,330 - Parque Avellaneda,24461,MEMBER,ICONIC,CODE
11204740,NORMAL,630,213,2021-06-02 15:55:53,136 - Acevedo,2021-06-02 16:06:23,29.0,029 - Parque Centenario,756162,MEMBER,ICONIC,CODE
11204738,NORMAL,1290,17,2021-06-02 15:55:46,017 - Plaza Almagro,2021-06-02 16:17:16,219.0,140 - Las Casas,508455,MEMBER,ICONIC,CODE
11204737,NORMAL,926,200,2021-06-02 15:55:41,200 - AUSTRIA Y FRENCH,2021-06-02 16:11:07,193.0,193 - ARENALES Y AGUERO,687896,MEMBER,ICONIC,CODE
11204736,NORMAL,331,353,2021-06-02 15:55:31,237 - Madero Office,2021-06-02 16:01:02,35.0,035 - INGENIERO BUTTY,720912,MEMBER,ICONIC,CODE
