#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151AA5CFE
#Date Time: 2020-09-08 00:42:59.235
#Sample rate: 4e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 4 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 4 V/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 15.392 kHz
#Period: 64.968815 us
#Amplitude: 10 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0

Time (s),Channel 1 (V),Channel 2 (V)
-0.000102385,2.924948443,-2.535673811
-0.00010236,2.884662039,-2.575652513
-0.000102335,2.884662039,-2.575652513
-0.00010231,2.844375635,-2.575652513
-0.000102285,2.844375635,-2.575652513
-0.00010226,2.844375635,-2.615631214
-0.000102235,2.804089231,-2.575652513
-0.00010221,2.804089231,-2.615631214
-0.000102185,2.804089231,-2.615631214
-0.00010216,2.804089231,-2.615631214
-0.000102135,2.763802827,-2.615631214
-0.00010211,2.763802827,-2.615631214
-0.000102085,2.723516423,-2.655609916
-0.00010206,2.683230019,-2.655609916
-0.000102035,2.723516423,-2.655609916
-0.00010201,2.683230019,-2.655609916
-0.000101985,2.683230019,-2.695588617
-0.00010196,2.642943615,-2.695588617
-0.000101935,2.642943615,-2.695588617
-0.00010191,2.642943615,-2.695588617
-0.000101885,2.602657211,-2.695588617
-0.00010186,2.602657211,-2.695588617
-0.000101835,2.562370807,-2.735567319
-0.00010181,2.562370807,-2.735567319
-0.000101785,2.522084404,-2.735567319
-0.00010176,2.562370807,-2.735567319
-0.000101735,2.522084404,-2.77554602
-0.00010171,2.481798,-2.77554602
-0.000101685,2.481798,-2.77554602
-0.00010166,2.441511596,-2.815524722
-0.000101635,2.441511596,-2.77554602
-0.00010161,2.441511596,-2.77554602
-0.000101585,2.441511596,-2.815524722
-0.00010156,2.401225192,-2.815524722
-0.000101535,2.401225192,-2.815524722
-0.00010151,2.401225192,-2.815524722
-0.000101485,2.360938788,-2.855503423
-0.00010146,2.360938788,-2.855503423
-0.000101435,2.320652384,-2.855503423
-0.00010141,2.320652384,-2.855503423
-0.000101385,2.320652384,-2.855503423
-0.00010136,2.28036598,-2.855503423
-0.000101335,2.28036598,-2.895482125
-0.00010131,2.28036598,-2.895482125
-0.000101285,2.240079576,-2.895482125
-0.00010126,2.240079576,-2.935460826
-0.000101235,2.199793172,-2.935460826
-0.00010121,2.199793172,-2.935460826
-0.000101185,2.159506769,-2.935460826
-0.00010116,2.159506769,-2.935460826
-0.000101135,2.159506769,-2.935460826
-0.00010111,2.119220365,-2.975439528
-0.000101085,2.119220365,-2.975439528
-0.00010106,2.119220365,-2.975439528
-0.000101035,2.078933961,-2.975439528
-0.00010101,2.078933961,-2.975439528
-0.000100985,2.038647557,-3.015418229
-0.00010096,2.038647557,-3.015418229
-0.000100935,2.038647557,-3.015418229
-0.00010091,1.998361153,-3.015418229
